Restaurant Name,Original food Item
Protein House,24 oz with Flavor Choice Sugar Free Vanilla Flavor Snickers Iced Coffee 24 oz with Milk Choice Skim Milk Snickers Hot Coffee 24 oz with Flavor Choice Sugar Free Hazelnut Flavor Caramel Macchiato Coffee Sexy Bitch Bowl with White Rice Acai Nutty Butter Smoothie 16 oz Cookies and Cream Iced Coffee 24 oz with Flavor Choice Hazelnut Flavor Cookies and Cream Iced Coffee 16 oz with Milk Choice Almond Milk Snickers Hot Coffee Vegan Wrap with Side of Fruit Vegan Bowl with Quinoa Thai Monster Bowl with Half Brown Rice and Half Quinoa BBQ Turkey Burger Salmon Burger Power Wrap Chicken Caesar Wrap 24 oz with Milk Choice Whole Milk Caramel Macchiato Coffee 24 oz with Flavor Choice Sugar Free Vanilla Flavor Cookies and Cream Coffee 16 oz with Milk Choice Almond Milk Caramel Macchiato Iced Coffee 16 oz with Flavor Choice Hazelnut Flavor Cookies and Cream Iced Coffee Frozen Yogurt 24 oz with Milk Choice Soy Milk Peppermint Mocha Coffee 16 oz with Milk Choice Whole Milk Caramel Macchiato Iced Coffee Sexy Bitch Bowl with Half Brown Rice and Half Quinoa SHRDD Veggie Omelette 16 oz Snickers Hot Coffee 16 oz with Milk Choice Soy Milk Cookies and Cream Iced Coffee Super Bird Omelette The General Bowl with Brown Rice 16 oz with Milk Choice Soy Milk Peppermint Mocha Coffee Boss Bowl with Brown Rice 24 oz with Milk Choice Soy Milk Caramel Macchiato Coffee 16 oz with Milk Choice Skim Milk Snickers Hot Coffee Portobello Sandwich with Toasted Ezekiel Bread Boss Bowl with Half Brown Rice and Half Quinoa Southwest Veggie Wrap 16 oz with Flavor Choice Sugar Free Hazelnut Flavor Caramel Macchiato Coffee BBQ Bowl with Whole Wheat Pasta Boss Bowl with White Rice Thai Monster Bowl with Whole Wheat Pasta 24 oz Cookies and Cream Iced Coffee 16 oz with Flavor Choice Hazelnut Flavor Snickers Iced Coffee Ninja Burger with Grilled Portobello Mushrooms Muscle Builder Burger
Baskin Robbins,25 oz Scoop Pink Bubblegum Ice Cream Regular Size Vanilla Soft Serve 4 oz Scoop Honey Almond Greek Frozen Yogurt Small Made With MMs 31 Below Small Coke Float With Vanilla Ice Cream 25 oz Scoop Chocolate Chip Ice Cream 4 oz Scoop Icing On The Cake Ice Cream 4 oz Scoop Chocolate Almond Ice Cream 4 oz Scoop Gold Medal Ribbon Ice Cream 4 oz Scoop Salty Caramel Ice Cream 25 oz Scoop Bananas N Strawberries Ice Cream Large Made With MMs 31 Below 4 oz Scoop Pralines N Cream Ice Cream Large Wild Mango Fruit Blast 4 oz Scoop Cherry Cordial With Kisses Ice Cream Medium Chocolate Chip Cookie Dough Milkshake 4 oz Scoop USS Butterscotch Ice Cream 4 oz Scoop Rocky Road Ice Cream Small Coke Float With Soft Serve Sugar Cone Fancy Sugar Cone With Almonds 25 oz Scoop Caramel Praline Cheesecake Ice Cream 25 oz Scoop Icing On The Cake Ice Cream 25 oz Scoop Salty Caramel Ice Cream Large Ice Cream Soda With Vanilla Ice Cream 25 oz Scoop French Vanilla Ice Cream Large Energy Freeze With Monster Energy And Wild N Reckless Sherbet Small World Class Chocolate Milkshake 4 oz Scoop Blackberry Hibiscus Medium Oreo Cookies N Cream Milkshake Small Freeze With Rainbow Sherbet Sprite Medium Reeses Peanut Butter Cup 31 Below 4 oz Scoop Creole Cream Cheese Ice Cream 4 oz Scoop Caramel Praline Cheesecake Ice Cream Small Energy Freeze With Monster Energy And Wild N Reckless Sherbet 25 oz Scoop Peanut Butter N Chocolate Ice Cream Large World Class Chocolate Milkshake 25 oz Scoop Oreo N Chocolate Ice Cream Small Cappuccino Blast Made With Soft Serve 4 oz Scoop World Class Chocolate Ice Cream Medium Ice Cream Soda With Vanilla Ice Cream Large Cappuccino Blast Made With Soft Serve 4 oz Scoop Brownie Bar Mashup Ice Cream Large Very Berry Strawberry Milkshake 25 oz Scoop Pistachio Almond Ice Cream
Cook's,Skim FatFree Milk Brut California Champagne Smoked Pork Chops Whole Milk Pantry Organic Whole Beets 2 Partly Skimmed Milk 2 ReducedFat Milk Boneless Ham Steak
De Dutch Pannekoek House,Clubhouse Turkey Bacon Wrap Van Gogh Salad Shrimp with Fruit Omelette Grilled 3 Cheese Tomato Meat Lovers with Fruit Omelette Plain Omelette Boeres with Salad Omelette Cheese Quesadilla Spinach Cheese with Salad Omelette Breakfast Wrap with Fruit Meat Option Stroop Mayo Mustard Honey Boeres with Fruit Omelette Breakfast Hashboat Fruit Veggie Sliced Apple Walnut on Sour Dough Brie Sweet Apple with Salad Omelette Smoked Salmon Omelette Walnut Feta Salad Pear Avocado Breakfast Wrap with Fruit Mushroom Option Low Carb Omelette Chili Deal Low Carb Platter Sausage Boeres with Salad Benedict Red Onion Brie Whole Grain Smoked Salmon Fruit Topping French Toast DeTurkey Bacon Eggs with Salad
Green Beans Coffee,24 oz Cafe Mocha Mixed Berry Muffin 24 oz House Coffee 12 oz House Coffee 12 oz Cafe Mocha Chocolate Chip Cookie 32 oz Spiced Chai Smoothie 24 oz Strawberry Smoothie Banana Muffin 12 oz Hot Chocolate 24 oz Mocha Frappe 12 oz Cappuccino 24 oz Protein Burst Smoothie 12 oz Americano Filled Cheese Butter Croissant 32 oz Italian Soda 20 oz Spiced Apple Cider 16 oz Cappuccino 16 oz Caramel Latte 24 oz Spiced Chai Latte 12 oz Kids Spiced Apple Cider 32 oz Mocha Frappe 16 oz Protein Burst Smoothie 16 oz Americano 16 oz Mango Smoothie 16 oz White Chocolate Mocha 16 oz Strawberry Banana Smoothie 20 oz White Chocolate Mocha 20 oz House Coffee 20 oz Cafe Mocha 24 oz Cafe Latte 32 oz Strawberry Banana Smoothie 16 oz House Coffee 32 oz Protein Burst Smoothie 16 oz Strawberry Smoothie 16 oz Mocha Frappe 16 oz Brewed Iced Tea Special Spiced Chai 16 oz Hot Chocolate
Charley's Philly Steaks,Regular Philly Cheesesteak Plain Classic Chicken Small Chicken Buffalo Cheesesteak Regular Dr Pepper Cajun Rub Boneless Chicken Nashville Hot Classic Chicken Angry Ghost Boneless Chicken Regular Baked Beans Sweet Teriyaki Boneless Chicken Small Chicken Philly Cheesesteak Spicy Molasses BBQ Boneless Chicken 1 Piece Texas Toast Large Sweetened Iced Tea Large Unsweetened Iced Tea Garlic Parm Boneless Chicken Regular Cheesesteak Topping Jalapenos Nashville Hot Boneless Chicken Large HiC Flashin Fruit Punch Large Dr Pepper Large Cheesesteak Topping Pickles Large Coleslaw Large Fanta Orange Regular Chicken Philly Cheesesteak Large Baked Beans Small Chicken Teriyaki Cheesesteak Small Cheesesteak Topping Jalapenos Smokin Habanero Boneless Chicken Regular Chicken Buffalo Cheesesteak Regular Coke Zero With Blue Cheese Dip Celery Sticks With Ranch Dip Celery Sticks Angry Ghost Classic Chicken Thai Chili Classic Chicken Buffalo Classic Chicken Jalapeno Lime Seasoning Small Cheesesteak Topping Pickles Smokin Habanero Sauce Thai Chili Sauce Garlic Parmesan Seasoning Small Cheesesteak Topping Mayo Buffalo Boneless Chicken Plain Chicken Tender
Bruster's Real Ice Cream,Large Fudge Ripple Ice Cream on a Sugar Cone Small Chocolate Peppermint Ice Cream in a Dish Large Pumpkin Yogurt on a Waffle Cone Regular Sea Salt Caramel No Sugar Added Ice Cream in a Dish Regular Chocolate Marshmallow Ice Cream in a Dish Small Coffee Toffee Ice Cream in a Dish Large Chocolate No Sugar Added Ice Cream on a Waffle Cone Large Peach Melba Ice Cream on a Cake Cone Large Coffee Ripple No Sugar Added Ice Cream on a Sugar Cone Large Strawberry Ice Cream on a Waffle Cone Large Black Raspberry Sorbet in a Dish Regular White Raspberry Truffle in a Dish Large Pumpkin Pie Ripple Ice Cream on a Sugar Cone Small Jamaican Me Crazy Ice Cream on a Waffle Cone Regular Blueberry Cobbler Ice Cream in a Dish Small Maple Walnut Ice Cream in a Dish Regular Peanut Butter Ice Cream on a Cake Cone Small Winter Wonder on a Sugar Cone Large Banana Ice Cream in a Dish Small Banana Chocolate Chip Ice Cream in a Dish Small Chocolate Marshmallow Ice Cream in a Dish Regular Cotton Candy Explosion Ice Cream in a Dish Small Black Raspberry Cheesecake Ice Cream on a Waffle Cone Small Turtle Ice Cream on a Sugar Cone Regular SMores Ice Cream in a Dish Small Cherry Vanilla Ice Cream on a Sugar Cone Large Caramel Apple Ice Cream on a Sugar Cone Large Graham Canyon Ice Cream on a Cake Cone Large Peanut Butter Cup with Reeses Ice Cream on a Waffle Cone Small Coconut Cream Pie Ice Cream on a Sugar Cone Large Chocolate Cherry Chunk Ice Cream in a Dish Small Strawberry Ice Cream on a Cake Cone Regular Gone Bananas Ice Cream on a Waffle Cone Large Rum Raisin Ice Cream in a Dish Small SMores Ice Cream in a Dish Regular Key Lime Pie Ice Cream in a Dish Regular Strawberry Sorbet on a Sugar Cone Small Black Cherry Ice Cream in a Dish Regular Graham Central Station Ice Cream in a Dish Large Coconut Sorbet on a Sugar Cone Large Chocolate Pecan Ice Cream on a Cake Cone Large Cake Batter Ice Cream in a Dish Regular Nutty Coconut Ice Cream on a Waffle Cone Small Coffee No Sugar Added Ice Cream in a Dish Regular Fudge Ripple No Sugar Added Ice Cream on a Sugar Cone
Happy Joe's,12 inch Taco Joe Pan Crust Pizza 15 inch Combo Plus Pan Crust Pizza 15 inch Cheese Original Crust Pizza 6 inch Black Olives Original Crust Pizza 6 inch Onion Original Crust Pizza 6 inch Taco Joe Original Crust Pizza 15 inch FireRoasted Vegetables Pan Crust Pizza 6 inch Hawaiian Original Crust Pizza 9 inch Chicken Pan Crust Pizza 12 inch Chicken Bacon Ranch Pan Crust Pizza 6 inch Spaghetti Joe Original Crust Pizza 6 inch Green Olives Original Crust Pizza 6 inch Canadian Bacon Pan Crust Pizza 6 inch Hawaiian Pan Crust Pizza 9 inch Combo Pan Crust Pizza 6 inch Bacon Pieces Pan Crust Pizza 6 inch Matador Original Crust Pizza 12 inch Cheese Pan Crust Pizza 12 inch Hawaiian Pan Crust Pizza 12 inch Combo Plus Original Crust Pizza 12 inch Chicken Original Crust Pizza 6 inch Tomato Original Crust Pizza 6 inch BLT Pan Crust Pizza 12 inch Combo Plus Pan Crust Pizza 12 inch FireRoasted Vegetables Pan Crust Pizza 15 inch Matador Pan Crust Pizza 15 inch Beef Pan Crust Pizza 15 inch Tomato Original Crust Pizza 15 inch Meatworks Pan Crust Pizza 12 inch Nacho Joe Original Crust Pizza 15 inch Green Pepper Original Crust Pizza 12 inch Vegetarian Original Crust Pizza 12 inch Sauerkraut Original Crust Pizza 9 inch Spaghetti Joe Original Crust Pizza 9 inch Taco Supreme Original Crust Pizza 9 inch Spaghetti Joe Pan Crust Pizza 9 inch Combo Original Crust Pizza 6 inch Chicken Taco Pan Crust Pizza 12 inch Pepperoni Original Crust Pizza 15 inch Sausage Pan Crust Pizza 15 inch Sauerkraut Original Crust Pizza 6 inch Green Pepper Pan Crust Pizza 15 inch Chicken Taco Original Crust Pizza 6 inch Salami Pan Crust Pizza 15 inch Mushrooms Pan Crust Pizza 9 inch Salami Original Crust Pizza 15 inch Meatworks Original Crust Pizza 12 inch Green Pepper Pan Crust Pizza
Tabatchnick,Chicken Broth with Noodles Vegetables with Noodles Dumplings Chicken Broth Minestrone Soup Vegetarian Chili Soup Singles Wildberry Steel Cut Oatmeal Singles Roasted Red Pepper and Tomato Soup Frenchmans Onion Soup Gourmet Beef Flavored Broth Creamy Tomato Soup Yankee Bean Soup Garden Fresh Vegetable Broth Barley and Mushroom Soup Low Sodium Split Pea Soup Cream of Mushroom Soup Barley Mushroom Soup Classic Wholesome Chicken Broth Split Pea Soup Organic Black Bean Soup Organic Split Pea Soup Southwest Bean Soup Cabbage Soup Barley Mushroom Soup Singles Tuscany Lentil Soup Beet Cabbage Soup Wilderness Wild Rice Soup Balsamic Tomato Rice Soup Tuscany Lentil Soup Creamed Spinach Vegetable Soup Black Bean Soup Old Fashioned Potato Soup Split Pea Soup Singles Classic Wholesome Chicken Reduced Sodium Organic Broth Vegetarian Chili Tomato with Basil Soup
Kenny's,Strawberry Juicy Twists Key Lime Pie Gummy Bear Original Seasoning
241 Pizza,Medium Slice Bacon Cheeseburger Pizza Small Slice Meat Lovers Pizza Medium Slice BBQ Chicken Pizza Large Slice Meat Lovers Pizza Garlic Bread with Cheese Ranch Dipping Sauce Cauliflower Pizza Crust Medium Slice Meat Lovers Pizza Potato Wedges Medium Slice Pepperoni Plant Based Pizza Medium Slice Chicken Club Pizza Small Slice Chorizo Supreme Pizza Large Slice Chorizo Supreme Pizza Large Slice Pepperoni Pizza Small Slice Pepperoni Pizza Large Slice Jalapeno Hawaiian Pizza Large Slice Pepperoni Plant Based Pizza BBQ Wings Large Slice Hawaiian Pizza Small Slice Basil Pesto Pizza Medium Slice Canadian Pizza Large Slice Canadian Supreme Plant Based Pizza Small Slice Hawaiian Pizza Small Slice Canadian Supreme Plant Based Pizza Large Slice Bacon Cheeseburger Pizza Small Slice Veggie Sensation Pizza Spicy Buffalo Dipping Sauce Medium Slice Jalapeno Hawaiian Pizza Large Slice Veggie Sensation Pizza Medium Slice Pepperoni Pizza Medium Slice Basil Pesto Pizza Hot Wings Small Slice Chicken Club Pizza Gravy Medium Slice Deluxe Pizza BBQ Dipping Sauce Poutine Large Slice Cheese Pizza Medium Slice Canadian Supreme Plant Based Pizza Garden Salad Medium Slice Hawaiian Pizza Small Slice BBQ Chicken Pizza Small Slice Veggie Plant Based Pizza Large Slice BBQ Chicken Pizza Medium Slice Ham Pesto Plant Based Pizza
Sail,Peeled and Deveined TailOff Raw Shrimp Cooked Shrimp White Shrimp Cooked White Shrimp Cooked Shrimp Cooked Shrimp Ring with Cocktail Sauce Raw Shrimp Cooked Salad Shrimp Tail Off Peeled and Deveined Cooked Shrimp
Taco Bueno,Black Bean Burrito Wholotta Platter Beef Crispy Beef Taco 8 Nacho Salad Beef Combo with Low Cal Drink Beef Big FreakN Nachos Mountain Dew 30oz 2 each Taco Platter Chicken Soft Chicken Taco 2 each Cheesy Chicken Chilada Platter Cheesy Chicken Chilada Burrito Rice Bowl Fajita Chicken 6 Cheese Quesadilla Cheese Quesadilla Diet Dr Pepper 22oz Big Ol Burrito inchBOB inch Chicken 7 Mucho Nachos Chicken Crispy Beef Taco Party Taco Kids Meal with Low Cal Drink Crispy Potato Sticks 1 The Muchaco Beef Combo with Low Cal Drink Mug Root Beer 40oz Beef Taco Rollup Kids Meal Apple Sauce Large Guac Only 1 The Muchaco Chicken Crispy Beef Taco Chicken Taco Rollup Kids Meal with High Cal Drink Applesauce 7 Mucho Nachos Beef Combo with Low Cal Drink Chicken Taco Rollup Kids Meal with Low Cal Drink Applesauce Party Burrito Kids Meal Apple Sauce TexMex Platters Setup Refried Beans 3oz with chili and cheese Mist Twst Lemon Lime 30oz Beverages Mug Root Beer 12oz Beef Taco Rollup Kids Meal with High Cal Drink Crispy Potato Sticks TexMex Platters Setup Regular Chip Beef Taco Rollup Kids Meal Beef Taco Rollup TexMex Bowl Chicken 3 Crispy Beef Taco Crispy Taco Combo with High Cal Drink Chicken Taco Rollup Kids Meal Apple Sauce 2 Fajita Chicken Taco Combo with Low Cal Drink Mug Root Beer 30oz Party Quesadilla 299 Meals Chicken Quesadilla 2 each Bueno Chilada Platter Beef Beef Chilada Party Quesadilla Bueno Values Chicken Taco Rollup Kids Meal Crispy Potato Sticks Taco Platter Beef Crispy Beef Taco 5Pack Churros Chicken Big FreakN Quesadilla 5 MexiDips Chips Combo with High Cal Drink Chicken Taco Rollup Kids Meal with High Cal Drink Crispy Potato Sticks
Northern Chef,Clam Meat Snow Crab with Garlic Butter Raw White Peeled Deveined Shrimp Fiji Albacore Tuna Snow Crab Claws Wild Baja Shrimp Boom Boom Shrimp Premium Seafood Mix Wild Caught Skinless Portions Chilean Sea Bass Rings Tentacles Calamari Seafood Medley Sriracha Shrimp Lightly Coated with Cocktail Sauce Shrimp Skinless Mahi Mahi Tilapia Fillets Coconut Shrimp Cooked Peeled Dine Well Shrimp Cooked Salad Shrimp Salt Pepper Calamari Bay Scallops Wild Caught Alaska Cod
Magic Wok,Steamed White Rice 6 oz Beef Fried Rice Curry Tofu Chicken Pad Thai Orange Chicken Steamed Brown Rice 6 oz Shrimp Fried Rice Chicken Fried Rice Tofu Pad Thai Steamed Broccoli 3 oz Szechuan Spicy Chicken Mongolian Beef Mongolian Shrimp Veggie Teriyaki Bowl Garlic Chicken Vegetable Fried Rice Broccoli Beef Mongolian Chicken Sweet Sour Chicken General Tso Chicken Curry Chicken Chicken Lo Mein Shrimp Pad Thai Pepper Steak Chicken Side Fried Rice 5 Star Chicken Chicken Teriyaki Bowl Vegetable Lo Mein Vegetable Deluxe wtih Tofu Beef Lo Mein Steamed White Rice 8 oz Tofu Lo Mein Sesame Chicken Chicken Rice Bowl Trip Fried Rice Steamed Brown Rice 8 oz Kung Pao Chicken Broccoli Chicken
Bimbo,Small Soft White Bread Marshmallow Cookies White Whole Grain Bread Creme Sandwich Cookies Raisin Pound Cake Family Pack Mini Vanilla Cakes Muffins Vanilla Creme Sandwich Cookies Conchas Multigrain Variety Pack Chocolate Panque Large White Bread Sugared Donuts Hamburger Buns 7 Grain Bread Banana Nut Pound Cake Mini Mantecadas Mini Muffins Bimbunuelos Crispy Wheels With Chocolate Flavored Chips Mini Pound Cakes With Raisins Cinnamon Rolls Extra Large With Sesame Seeds Hamburger Buns Butter Loaf Cakes Flaxseed Bread Multigrain Flaxseed Linaza Chocolate Creme Sandwich Cookies Honey Wheat Bread Soft White Bread Hot Dog Buns Toasted Wheat Bread Vanilla Creme Sandwich Cookies Mini Doraditas Bimbolete CremeFilled Sweet Roll
Heckers,Whole Wheat Flour SelfRising Flour
Nick-N-Willy's Pizza,Margherita Calzone TS Family Garden Veggie Pizza Personal Cheese Pizza Personal Outback Pizza Medium Pepperoni Pizza Family Wild Willy Combo Pizza Garden Veggie Calzone Large Pepperoni Pizza Personal Garlic Chicken with Smoked Bacon Pizza Family Mediterranean Pizza Large Cheese Pizza Medium PepperoniNSausage Pizza Aegean Calzone Large Roman Feta Pesto Pizza Personal Fresh Jalapeno Burn Pizza with Chicken Side Garden Salad Chocolate Chunk Cookie Medium Fresh Jalapeno Burn Pizza with Beef Kens Old Venice Italian Dressing Personal PepperoniNSausage Pizza Family Classic Pizza Family SausageNMushroom Pizza Personal Roman Feta Pesto Pizza Large Fresh Jalapeno Burn Pizza with Chicken Large Aegean Pizza Medium Margherita Pizza Personal Margherita Pizza Medium Little Nells Chicken Bbq Pizza Large Garlic Chicken with Smoked Bacon Pizza Medium Classic Pizza Entree Caesar Salad with Chicken Personal Garden Veggie Pizza Large PepperoniNSausage Pizza Family Fresh Jalapeno Burn Pizza with Beef Medium Aegean Pizza Medium Garden Veggie Pizza Family Caesar Salad with Chicken Five Cheese Calzone Olive Oil Hot Buffalo Chicken Wings
Lion's Choice,Broccoli Soup Sour Cream No Butter Original Roast Beef Sandwich Seasonal Cole Slaw Provel Cheese Large Roast Beef Sandwich with Cheddar on Steak Bun Original Roast Beef Sandwich Veggie Dip No Butter Original Turkey Breast Sandwich White Cheddar Mac N Cheese GlutenFree Caesar Dressing Side Salad Regular Hot Fudge Sundae No Butter or Seasoning Original Roast Beef Sandwich Large Roast Beef Sandwich on Steak Bun Baked Potato with Butter and Sour Cream Cheddar Cheese Cup Macadamia Nut Cookie Original Ham Sandwich on Wheat BBQ Sauce No Bun Original Roast Beef Sandwich No Butter Kids Roast Beef Sandwich Sugar Cookie Regular Vanilla Frozen Custard Dipped Cone Large Pulled Pork Sandwich King Turkey Sandwich Buttery Toasted Cheese Tomato Soup Gluten Free Bun Large Vanilla Frozen Custard Dipped Cone No Bun or Seasoning Original Roast Beef Sandwich Chocolate Chip Cookie Jumbo AllBeef Chili Dog Large Flavor Burst Custard Cone Hearty Chili Lite Italian Dressing No Butter or Seasoning Kids Roast Beef Sandwich No Seasoning King Beef Sandwich
Burrito Boyz,Chicken Small Whole Wheat Burrito Tomatoes Three Sweet Potato Tacos XXX Hot Sauce Cheese Large White Burrito Sweet Potato Small Whole Wheat Burrito Sweet Potato Small White Burrito Ground Soy Small Gluten Free Burrito Sweet Potato Large Whole Wheat Burrito Sweet Potato Halibut Small Whole Wheat Burrito Battered Haddock Fillet Calamari Breaded Large Whole Wheat Burrito Shrimp Small White Burrito Three Ground Soy Tacos Haddock Small Gluten Free Burrito Ground Soy Small Whole Wheat Burrito Calamari Breaded Small White Burrito Shrimp Ground Soy Small White Burrito Three Pulled Pork Tacos Calamari Breaded Small Whole Wheat Burrito Three Steak Tacos Whole Kernel Corn Chicken Breast Steak Large Whole Wheat Burrito Chipotle Salsa Jalapenos Calamari Breaded Large White Burrito
Duchess Shoppe,Hersheys Triple Chocolate Cookie 20 oz Cherry Coca Cola 44 oz Mountain Dew Sausage Gravy Stuffer 32 oz Diet Coke 32 oz Diet Mountain Dew Bacon Cheddar Burger Egg American Cheese English Muffin Bacon 32 oz Coca Cola 20 oz Mountain Dew Code Red Hash Brown Stick Sour Cream Cake Donut 44 oz Crush Orange Soda Fluff Filled Bismark White Chocolate Macademia Nut Cookie Crispy Chicken Parmesan Cheese Burger with Swiss on Kaiser Bun 32 oz Sprite 20 oz Gold Peak Regular Unsweetened Duchess Sub 12 oz Wild Berry Smoothie Egg American Cheese Muffin Sausage Football Shaped Yeast Donut 20 oz Dr Pepper 32 oz Pepsi Wild Cherry 44 oz Coca Cola Pepperoni Pizza 1 Slice Plain Cake Donut 44 oz Diet Mountain Dew Grilled Buffalo Chicken Spicy Cheese Quesadillia Tornado Egg Cheese 25oz Roller Bites Breakfast Sausage 32 oz Diet Dr Pepper Bacon Cheeseburger 3 oz Roller Bites 44 oz Diet Coke 32 oz Mug Root Beer
DiGiorno,Three Meat Stromboli Supreme Garlic Bread Pizza Cheese Stuffed Crust Buffalo Style Chicken Pizza Pepperoni Rising Crust Pizza Rising Crust Pizza Three Meat Rising Crust Pepperoni Rising Crust Pizza Three Meat Pizza Supreme Cheese Stuffed Crust Pizza Italian Style Meat Trio Pizza Tomato Mozzarella with Pesto Thin Crispy Pizza Four Cheese Pizza Dipping Strips Three meat Original Rising Crust Supreme Pizza Pizzeria Supreme Speciale Pizza Chicken Parmigiana Pizza Pepperoni Stromboli Four Cheese Ultra Thin Pizza Pepperoni Pizza Dipping Strips Rising Crust Four Cheese Pizza Italian Sausage Rising Crust Pizza Four Cheese Pizza Cheesy Breadsticks Pizza Breadsticks Three Meat Cheese Stuffed Crust Pizza Ultimate Pepperoni Pizza Supreme Rising Crust Pizza Supreme Pizza Cheese Stuffed Crust Stuffed Crust Aloha Bacon Pizza Pizzeria Primo Pepperoni Pizza Five Cheese Cheese Stuffed Crust Pizza Chicken Parmesan Pizza Ultimate Supreme Pizza Supreme Traditional Crust Pizza
Drew's,Thai Coconut Sesame Dressing Romano Caesar Dressing Quick Marinade Romano Caesar Dressing Quick Marinade Honey Dijon Dressing Roasted Red Pepper Dressing Quick Marinade Medium Double Fire Roasted Organic Salsa Hot Thick Chunky Salsa Peppercorn Ranch Dressing Quick Marinade Caramel Corn Medium Thick Chunky Organic Salsa Smoked Tomato Dressing Quick Marinade Blueberry Pomegranate with Chia Dressing Blackberry Pomegranate With Chia Flax Chia Quinoa Organic Salsa Creamy Ranch Dressing Quick Marinade Thousand Island Dressing Medium Thick Chunky Organic Salsa Goddess Organic Dressing Quick Marinade Classic Caesar Organic Dressing Quick Marinade Mild Thick Chunky Organic Salsa Raspberry Dressing Quick Marinade Harvest French Dressing Marinade Soy Ginger Dressing Quick Marinade Blueberry Pomegranate Organic Dressing Chipotle Ranch Dressing Quick Marinade Raspberry Dressing Roasted Garlic Peppercorn Dressing Quick Marinade Rosemary Balsamic Dressing Marinade Thai Sesame Lime Dressing Creamy Italian Dressing Quick Marinade Classic Italian Viniagrette Quick Marinade Organic Salsa Tomatillo Verde medium Southwest style Black Bean Corn Organic Salsa Ginger Dressing Quick Marinade Rosemary Balsamic Dressing Hot Thick Chunky Organic Salsa Creamy Ranch Dressing Sesame Orange Dressing Quick Marinade Shiitake Ginger Dressing Quick Marinade Medium Chipotle Lime Organic Salsa Lemon Goddess Dressing Quick Noodle Sauce Rosemary Balsamic Dressing Mango Habanero Salsa Poppy Seed Dressing Quick Marinade
Pepperjax Grill,Junior Jax Pork Rice Bowl Kids Mandarin Oranges In Juice Beef Mushroom Gravy Spicy Italian Sausage Loaded Nachos Chocolate 2 Milk 2 Milk Tomatoes Carrots Chicken Breast Honey Mustard Sauce Side Salad without Dressing Sour Cream Small French Fries Jalapenos House Italian Dressing Sliced Cheese Ranch Dressing Large French Fries Kettle Chips Snickerdoodle Cookie Chicken Chicken Burrito Spicy Ranch Dressing Mild Salsa Large Soft Drink Chocolate Chip Cookie Regular Diet Soft Drink Spicy Italian Sausage Burrito Large Diet Soft Drink Barbeque Chips Green Peppers Vegetarian Loaded Nachos Spicy Italian Sausage Shredded Cheese Horseradish Sauce
Roy Rogers Restaurants,12 Piece Biscuits Chicken Biscuit Gold Rush Sandwich Pancakes Egg Cheese Sandwich on Crescent Sausage Egg Cheese Sandwich on Biscuit Sausage 10 oz Apple Juice Sausage Gravy Biscuit Hot Fudge Sundae Double Cheeseburger Egg Cheese Sandwich on Biscuit Ham Large Vanilla Shake Large Cole Slaw 12 oz Coffee 16 Piece Biscuits Chicken 8 Piece Biscuits Chicken Milk 12 oz Unsweet Tea Texas Pete Spicy Chicken Sandwich 16 oz Coffee Mashed Potatoes Gravy Large Mashed Potatoes Gravy 12 Piece Roast Beef Sliders 20 oz Coffee Apple Feta Spinach Salad Hamburger Egg Cheese Sandwich on Sourdough Ham 3 Piece Biscuit Chicken Kids Cheeseburger Fruit Cup Egg Cheese Sandwich on Crescent Bacon 10 oz Orange Juice 3 Piece Roast Beef Sliders Baked Potato Bacon Cheeseburger 2 Piece Biscuit Chicken Cole Slaw Cinnamon Biscuit Roll 6 Piece Roast Beef Sliders
A&W (Canada),12 oz Apple Juice Bacon Egger on Sesame Seed Bun Rib BoneIn Chubby Chicken 2 Milk BLT Chicken Burger Sausage Cheddar on English Muffin Root Beer Lollipops 20 oz Chocolate Milkshake 12 oz Vanilla Milkshake 20 oz Diet Coke Chipotle Mayonnaise 20 oz Diet AW Root Beer LettuceWrapped Chicken Buddy Burger Cheese Egger on English Muffin 20 oz Lemonade Gravy LettuceWrapped Spicy Habanero Chicken Burger LettuceWrapped BLT Chicken Burger 20 oz Strawberry Milkshake Individual Coleslaw Mozza Burger Bacon Ranch Chicken Wrap Spicy Habanero Chicken Burger 12 oz Iced Tea 12 oz Lemonade Regular Potato Salad 20 oz CocaCola 20 oz AW Root Beer Beyond Meat Sausage Egger Russet ThickCut Fries Regular Macaroni Salad Cheese Egger on Sesame Seed Bun 12 oz Chocolate Milkshake Regular Coleslaw AW Root Beer Float Diet 20 oz Apple Juice 12 oz Diet AW Root Beer Sweet Potato Fries Breakfast Wrap Sausage Egger on Sesame Seed Bun Wing BoneIn Chubby Chicken Poutine Chicken Strips Dipping Sauce Peach Turnover Beyond Meat Burger Apple Turnover Sausage Cheddar on Sesame Seed Bun
