Restaurant Name,Original food Item
TacoTime,Cherry Habanero 16 oz Limeade Mango Pineapple 21 oz Select Stores Only Limeade Crisp Pinto Bean Burrito Seasoned Beef Super Soft Taco Regular Egg and Cheese Burrito Chicken BLT Burrito Honey Mustard Regular Stuffed Mexi Fries Banana Peppers Seasoned Beef Chimi Platter Soft Pinto Bean Burrito Seasoned Beef Big Juan Burrito Minute Maid Orange Juice 10 oz Avocado Ranch Cilantro Strawberry Mango 21 oz Limeade Seasoned Beef Crisp Taco Mango Pineapple 16 oz Select Stores Only Limeade Chicken Ranchero Burrito Picante sauce Guacamole Mango Pineapple 32 oz Select Stores Only Limeade Black Olives Chicken Chimi Platter Cherry Habanero 32 oz Limeade Blue Raspberry 21 oz Select Stores Only Limeade Bavarian Cream Churro BBQ Sauce Regular Bacon and Egg Burrito Pork Soft Taco Junior Soft Taco Pork Chimi Platter Chicken Soft Taco Pickled Jalapeno Chicken Taco Salad Green Chili Pork Carnitas Enchiladas Small Mexi Fries Enchilada Breakfast Burrito
America's Taco Shop,Jack Cheese Regular Carne Asada Quesadilla Tomato Sauce 13 inch Large Flour Tortilla Chicken Torta Regular Carne Asada Burrito Regular Ranchero Burrito Large Al Pastor Quesadilla Large Ranchero Burrito Large Al Pastor Burrito Large Chicken Burrito Al Pastor Torta 20 oz Jamaica Regular Cheese Quesadilla Regular Chorizo and Egg Burrito Carne Asada Tacos Al Pastor Tacos Carne Asada Vampiros Regular Al Pastor Burrito Carne Asada Salad Carne Asada Steak Regular Bean and Cheese Burrito Al Pastor Salad Large Bean and Cheese Burrito Al Pastor Pork Chargrilled Chicken Salad Large Guacamole Side Fire Roasted Salsa Large Carne Asada Burrito Shrimp Ceviche Telera Bread Torta Al Pastor Vampiros 12 inch Regular Flour Tortilla 32 oz Horchata Regular Chicken Quesadilla Peruano Beans Large Carne Asada Quesadilla Regular Peruano Beans Side Large Egg and Potato Burrito
Thundercloud Subs,Large Tuna Sub Small Nada Chicken LowFat Sub Large Roast Beef Avocado Sub Small Austin Club Sub Large Roast Beef Sub Large NY Italian Sub Small Turkey LowFat Sub Large Chicken Salad Sub Small Tuna Sub Large Nada Chicken LowFat Sub Small Roast Beef Avocado Sub Small NY Italian Sub Large Austin Club Sub Large Turkey LowFat Sub Small Genoa Salami Sub Small Smoked Chicken LowFat Sub Small Ham Sub Small Turkey Sub Large Smoked Chicken Sub Large Genoa Salami Sub Large Smoked Chicken LowFat Sub Large Turkey Sub Small Smoked Chicken Sub Large Veggie Delite with Hummus Sub Large Avocado Sub Small California Club Sub Large Texas Tuna Sub Small Roast Beef LowFat Sub Small Veggie Delite with Hummus Sub Small American Classic Sub Large California Club Sub Large Ham LowFat Sub Small BLT Sub Small Genoa Salami LowFat Sub Large BLT Sub Large Genoa Salami LowFat Sub
Crazy Bowls & Wraps,Mediterranean Lettuce Wrap Teriyaki Wrap Tossed Kale Quinoa Salad Caesar Lettuce Wrap Mediterranean Bowl Small Bean Veggie Bowl Small Teriyaki Lettuce Wrap Teriyaki Bowl Small Lobster Rangoon Fajita Bowl Small Sweet Sour Bowl Regular StirFry Bowl Regular Pesto Wrap Roasted Cauliflower Thai Wrap Buffalo Lettuce Wrap BBQ Lettuce Wrap Mediterranean Bowl Regular Teriyaki Bowl Regular Garlic Ginger Edamame High Protein Bowl Black Bean Green Chile Egg Roll Jerk Lettuce Wrap Caesar Wrap Santa Fe Salad Multigrain Quinoa Salad Broccoli with Olive Oil Herb Buffalo Wrap Crispy Chicken Bites Kids Broccoli Chicken Bowl Fajita Bowl Regular Pesto Bowl Small Falafel Poke Bowl Kids Chicken Teriyaki Wrap Carrots with Olive Oil Herb Power Lettuce Wrap
Rice King,Jasmine Rice Brown Jasmine Rice Multi Grain Rice Short Grain Sweet Rice
Frullati Cafe & Bakery,White Roll Chicken Pecan Salad Sandwich Medium Watermelon Strawberry Chiller Flatbread Small Lemon Strawberry Chiller Classic Caesar Salad Flatbread Grilled Italiano Panini Sandwich Olives Roast Beef Sandwich Small Chocolate Banana Smoothie Croissant Bistro Ham Cheese Sandwich Tomato Medium Peanut Butter Banana Smoothie Large Watermelon Strawberry Chiller Brewers Yeast Wheat Roll Tuna Pecan Salad Sandwich Small Apple Strawberry Chiller Focaccia Rustic Veggie Melt Panini Sandwich Cheddar Ham And Egg Bagel Large Strawberry Banana Smoothie ProteinWhey Bacon Ham Large Pineapple Peach Smoothie Avocado Small Extreme Oreo Smoothie Turkey Large Blueberry Banana Smoothie Ham And Egg Croissant Ranch Dressing Large Mocha Java Smoothie Small Banana Banana Smoothie Croissant Chicken Pecan Salad Sandwich Sliced Wheat Bread Pepper Jack Turkey Sandwich Grilled Chicken Salad With LoCal Italian Flatbread Pepper Beef Cheddar Panini Sandwich Large Chocolate Covered Strawberry Smoothie Small Pineapple Coconut Orange Smoothie Large Mango Banana Smoothie Large Pineapple Strawberry Chiller Tuna Pecan Salad Flatbread Club Panini Sandwich Focaccia Tuscany Turkey Panini Sandwich
Veggie Patch,Meatless Burgers Chickn Nuggets CharGrilled Meatless Burgers Meatless Meatballs Buffalo Chikn Bites Chickpeas Spices Classic Falafel Meatless Crispy Chikn Cutlet Mediterranean Patties Spinach Chickpeas Mediterranean Patties Moroccan Red Lentil Cakes Roasted Red Pepper Falafel Garden Broccoli Bites Falafel Chickpea Balls
Silver Mine Subs,Pepper Jack Cheese for Double Large Sub Philly Cheesesteak for Small Sub Scoop Soy Sauce Golden Italian Dressing White Bread for Large Sub Baked BBQ Lays Chips Raspberry Vinaigrette Feta Cheese for Large Sub Pepper Jack Cheese for Large Sub Franks Red Hot Sauce for Small Sub Prospector Wrap Romaine Lettuce for Entree Salads Meatballs for Large Sub Salami for Large Sub BBQ Sauce for Small Sub Cheddar Cheese for Large Sub Roast Beef for Large Coeur DAlene Sub Kids Turkey Provolone Cheese Sub Turkey for Double Medium Sub Provolone Cheese for Large Sub Avocado for Medium Sub Roast Beef for Medium Sub Honey Mustard for Small Sub Medium Buffalo Stampede Warm Sub Ranch Dressing for Medium Sub Fat Free Ranch Dressing
Russo's New York Pizzeria,Slice Pomodoro Pizza 16 inch Slice Cauliflower Pizza 12 inch Medium Pancetta Topping Slice Cauliflower Pizza 16 inch Chicken Parmesan Party Truffle Mushroom Sauce Topping Red Velvet Cake Slice Artichoke Pizza 16 inch Kale Spinach Slice Paesano Pizza 16 inch Slice Pesto Chicken Pizza 16 inch Party Balsamic Glaze Topping Slice Mulberry Pizza 16 inch Party Roasted Peppers Topping Slice Vegetarian Pizza 12 inch Slice Pesto Chicken Pizza 12 inch Wings Fra Diavolo Bowl Tomato Basil Soup Chicken Cannelloni Italian Deli Sandwich on French Bread Medium Artichokes Topping Bruschetta Large Pineapple Tidbits Topping Chicken Portobello Sandwich on Flatbread Tiramisu Party Artichokes Topping Slice Cheese Pizza 28 inch Party Italian Sausage Topping Russos Famous Homemade Meatballs Large House Salad Chicken and Avocado Salad Garlic Bread with Cheese Baked Ziti New York Calzone Slice Roccos Pizza 16 inch Small Mediterranean Salad
Triple O's,Breakfast Club with Bacon without Sauce Original Veggie Burger without Sauce Sausage Sandwich on Ciabatta Egg BLT on Ciabatta Hashbrown Regular Sweet Potato Fries Sausage Sandwich on Ciabatta Regular Strawberry Milkshake Add Sauteed Mushrooms Monty Mushroom Burger Bacon Cheddar Burger without Sauce Chicken Bacon Cheddar Sandwich Side of Chipotle Mayo Sweet Potato Fries Double Double Burger Canadian Waffle without Syrup without Sauce Buttermilk Chicken Club Smoky BBQ Brisket Fries Breakfast Club with Sausage Small Vanilla Milkshake Onion Rings Add 6 oz Patty
Familia,Original Recipe Swiss Muesli Swiss Muesli No Added Sugar Swiss Muesli Low Fat Muesli Cereal High Fiber and Low Fat Fortified Multigrain Swiss Crunch Muesli Cereal Chocolate Amaranth Swiss Granola 100 Natural Swiss Muesli Cereal Fruit Nuts Organic Swiss Granola with Sunflower and Pumpkin Seeds Swiss Crunch Muesli Cereal Swiss Balance All Natural Blueberries Quinoa Low Fat Granola Cereal with Strawberries and Raspberries Swiss Crunch Cereal Swiss Crunch Muesli Cereal
Furr's Family Dining,CountryFried Potatoes Jalapeno Cornbread Mini Loaf GoldenFried Alaskan White Fish Red Velvet Layer Cake RotisserieStyle Chicken Furrs Classic Fried Chicken Chocolate Meringue Pie Blackeyed Peas and Snaps Steamed Rice California Peaches and Bananas Fresh Steamed Cabbage Crunchy Broccoli and Cauliflower Salad TexasStyle Garlic Toast Artificially Sweetened Chocolate Pudding Pepperoni or Cheese Pizza PanGrilled Pork Chops Michigan Apple Pie ChickenFried Chicken Breast Sweet Corn Butter Chess Pie CountryStyle Green Beans Coconut Chicken Tenders Hot Blackeyed Pea Salad Diced JellO OvenRoasted Turkey Breast Baked Alaskan White Fish Creamy Macaroni and Cheese WholeGrain Wheat Rolls Caesar Salad Favorite Chopped Steak Farmhouse Market Salad Southern Favorite Deviled Eggs Furrs Famous Millionaire Pie Dark Chocolate Layer Cake Coconut Meringue Pie Blackened Tilapia with Pineapple Salsa Fresh Mixed Fruit Salad with Sierra Mist Cornbread Sage Dressing Sweet Carrot Casserole Double Crust Spiced Apple Cobbler Italian Cucumber Salad Tomato Bisque Seafood Pasta Salad Fudge Brownie Supreme Glazed Meatloaf with Creole Sauce SkilletGrilled Chicken Fried Steak
